match_id,selected_synergy,card_status,winner,red_cells,blue_cells,score_gap,close_le_6,turns,moves,captures,capture_cell_turns,reclaim_turns,major_capture_turns,frontline_pressure_turns,encircle_pressure_turns,cut_turns,second_player_initiative,bridges,locks,synergies,synergy_labels,combo_label_hits,combo_labels,wild_uses,seed_uses,pass_uses,word_moves,three_letter_words,three_letter_ratio,best_swing,best_word,best_labels,opening,bot_style
38,FORTIFIER,active_scoring,BLUE,18,22,4,1,36,35,24,24,0,0,0,5,7,1,7,0,0,,27,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,25,0.714,5,みほ,SWING MOVE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,ほしぞら（星空）,Raider
39,COMEBACK_SPARK,active_scoring,RED,19,18,1,1,36,35,30,30,0,0,0,6,7,1,6,0,0,,32,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,30,0.857,5,いそ,SWING MOVE / CROSS WORD / COMEBACK / SECOND PLAYER INITIATIVE,そらかぜ（空）,Builder
40,BORDER_LORD,active_scoring,RED,21,16,5,1,36,35,24,23,0,1,0,3,8,1,5,2,2,SYNERGY:Border Lord: center held +1T,29,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / FORTIFY CHAIN / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,24,0.686,5,みほ,SWING MOVE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,ほしぞら（星空）,Builder
41,FORTIFIER,active_scoring,BLUE,13,20,7,0,36,35,18,17,0,1,0,1,4,1,3,1,0,,22,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,18,0.514,7,ぬかみそ,CAPTURE / MAJOR CAPTURE / SWING MOVE / EDGE REACH / COMEBACK / BRIDGE / CUT,そらかぜ（空）,Raider
42,COMEBACK_SPARK,active_scoring,BLUE,15,23,8,0,36,35,25,25,0,0,0,6,3,1,5,0,3,SYNERGY:Comeback Spark: comeback pressure +1T / SYNERGY:Comeback Spark: comeback pressure +2T,29,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MEGA TERRITORY / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,29,0.829,7,こころ,MEGA TERRITORY / SWING MOVE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,こころ（心）,Builder
43,BORDER_LORD,active_scoring,DRAW,20,20,0,1,36,35,19,18,0,1,0,8,4,1,3,1,2,SYNERGY:Border Lord: center held +1T,24,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / LONG PATH / MAJOR CAPTURE / MEGA TERRITORY / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,21,0.6,8,みなみかぜ,LONG PATH / MEGA TERRITORY / CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,うみかぜ（海風）,Raider
44,FORTIFIER,active_scoring,RED,21,16,5,1,36,35,26,26,0,0,0,3,5,1,7,0,0,,30,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MEGA TERRITORY / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,28,0.8,7,こころ,MEGA TERRITORY / SWING MOVE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,こころ（心）,Defender
45,COMEBACK_SPARK,active_scoring,BLUE,16,20,4,1,36,35,22,21,0,1,0,2,5,1,6,0,0,,24,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,20,0.571,6,しみず,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,みずべ（水辺）,Builder
46,BORDER_LORD,active_scoring,RED,23,15,8,0,36,35,19,17,0,2,0,0,2,1,4,2,2,SYNERGY:Border Lord: center held +1T,25,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / FIRST CAPTURE / FORTIFY CHAIN / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,20,0.571,5,あさやけ,FORTIFY CHAIN / CAPTURE / MAJOR CAPTURE,やまみち（山道）,Raider
47,FORTIFIER,active_scoring,RED,21,18,3,1,36,35,21,19,0,2,0,4,4,1,4,1,1,SYNERGY:Fortifier: locked ground +1T,24,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,20,0.571,6,みなみ,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,もりみち（森）,Builder
